X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
22.973419,40.929785,0,ΑΚΡΟΠΟΤΑΜΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.978096,38.400977,0,ΑΚΤΗ ΝΗΡΕΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.751498,37.989242,0,ΑΛΕΞΑΝΔΡΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.440161,40.629067,0,ΑΛΕΞΑΝΔΡΕΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.873993,40.84542,0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.714157,39.358289,0,ΑΛΕΠΟΧΩΡΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.183305,38.086846,0,ΑΛΕΠΟΧΩΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.103545,38.371873,0,ΑΛΙΑΡΤΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.037125,38.410493,0,ΑΛΙΒΕΡΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.913692,35.455361,0,ΑΛΙΚΙΑΝΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.589314,38.137937,0,ΑΛΙΣΣΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.956485,41.064632,0,ΑΛΙΣΤΡΑΤΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.436592,40.902275,0,ΑΛΚΥΩΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
